threads	daisy-nfsd	daisy-nfsd-seq-txn	daisy-nfsd-seq-wal	linux
1	1268.6984200000002	1298.75488	949.19388	1276.44648
2	2219.72618	1675.02392	1398.87394	2059.79774
3	2804.82104	1701.2589199999998	1437.38336	2692.69926
4	3404.49862	1693.41888	1453.69738	3183.95724
5	3920.36242	1692.65258	1449.7012200000001	3579.2829599999995
6	4391.76596	1691.8044999999997	1429.29502	3881.42334
7	4791.6256	1697.2267	1431.2735	4161.6812
8	5158.49272	1692.196	1436.0223799999999	4338.67206
9	5466.676420000001	1698.32822	1436.0937	4519.50032
10	5741.5442	1723.6839400000001	1439.1299199999999	4765.52512
11	5984.75608	1750.34984	1447.15256	5085.30764
12	6202.57476	1798.0047	1450.1326199999999	5341.8862
13	6383.27656	1834.4344400000002	1458.31268	5522.871099999999
14	6514.8918	1849.91996	1458.50016	5567.5452000000005
15	6644.08314	1859.80076	1461.60176	5628.88082
16	6761.371499999999	1866.2465799999998	1470.3991600000002	5743.88952
17	6873.924000000001	1859.40726	1467.336	5851.0525800000005
18	6974.0435	1868.77666	1473.0376	5973.29658
19	7065.543919999999	1865.23184	1478.57632	6040.6426200000005
20	7126.60724	1867.10104	1483.66012	6435.80742
21	7176.115159999999	1867.88004	1488.51314	6265.82764
22	7232.5783200000005	1869.27532	1491.8057199999998	6280.8989200000005
23	7283.71124	1868.54222	1504.1002400000002	6462.83036
24	7329.182460000001	1860.17946	1505.69544	6274.84702
25	7386.08228	1862.9486000000002	1513.7247	6705.14622
26	7397.50938	1868.23056	1512.62606	6615.986199999999
27	7439.0427	1863.80186	1521.64652	6537.26614
28	7448.60446	1868.95692	1528.3807199999999	6534.71562
29	7474.407219999999	1865.0052	1539.0851200000002	6635.25864
30	7510.70236	1861.59768	1543.86492	6923.78046
31	7526.14988	1859.41714	1556.59834	6824.70652
32	7531.11758	1862.9789799999999	1558.9818	6946.34852
33	7569.9987200000005	1859.7549599999998	1581.82074	7003.85926
34	7559.044680000001	1860.18496	1592.6857599999998	7015.16312
35	7563.25496	1867.38808	1598.50624	6957.2579
36	7590.64966	1860.6669399999998	1624.1044	7022.4472399999995
